1081,812,69,75
1058,784,69,72
1050,781,68,73
1055,813,68,73
1010,800,68,71
969,771,68,73
1010,732,70,73
968,700,69,72
896,700,68,70
901,709,67,69
955,667,70,69
963,581,70,68
892,598,70,69
883,634,70,67
879,605,72,68
869,604,71,68
858,598,72,67
843,610,72,68
839,606,72,67
813,590,70,67
785,597,72,66
762,616,74,67
737,609,73,66
723,598,73,65
713,602,73,65
694,605,74,66
670,590,73,67
653,567,75,68
640,570,74,68
621,579,73,68
608,576,73,68
587,563,75,66
572,563,73,66
542,550,74,66
529,544,73,65
505,537,71,69
484,520,74,67
472,504,73,68
460,489,74,68
449,446,72,68
431,431,73,70
417,453,72,69
442,660,71,72
423,711,72,73
385,598,72,72
372,514,69,72
337,442,70,74
302,369,66,76
287,299,57,81
336,238,46,85
404,161,38,83
464,71,53,81
559,20,66,76
